country,year,iso_code,population,electricity_generation,electricity_demand,solar_electricity,wind_electricity,hydro_electricity,fossil_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,fossil_share_elec,renewables_share_elec,carbon_intensity_elec
China,2016,CHN,1404052628.0,6133.16015625,6120.43994140625,66.52999877929688,240.8600006103516,1153.27001953125,4397.18994140625,1.0847588777542114,3.927175998687744,18.80384635925293,71.6953353881836,24.828800201416016,651.760009765625
China,2017,CHN,1412354730.0,6604.43994140625,6591.39013671875,117.8000030517578,304.6000061035156,1165.06005859375,4689.27978515625,1.7836486101150513,4.612049102783203,17.64055824279785,71.0019302368164,25.241504669189453,644.2100219726562
China,2018,CHN,1419008954.0,7166.14013671875,7150.919921875,176.89999389648438,365.7999877929688,1198.8900146484375,5035.75,2.468553304672241,5.104560852050781,16.72992706298828,70.27143859863281,25.611974716186523,636.8900146484375
China,2019,CHN,1423520357.0,7503.43017578125,7486.6298828125,224.0,405.2999877929688,1272.5400390625,5140.08984375,2.9853012561798096,5.401529312133789,16.959444046020508,68.50320434570312,26.849586486816406,619.6300048828125
China,2020,CHN,1426106093.0,7779.06982421875,7762.02978515625,261.1000061035156,466.5,1321.7099609375,5227.85986328125,3.356442451477051,5.996860980987549,16.990591049194336,67.20417785644531,28.088319778442383,606.2899780273438
China,2021,CHN,1426437269.0,8534.259765625,8520.01953125,327.0,655.7999877929688,1300.0,5677.9599609375,3.831615209579468,7.684321880340576,15.232721328735352,66.5313720703125,28.69375991821289,599.0499877929688
China,2022,CHN,1425179562.0,8848.7099609375,8835.759765625,427.2699890136719,762.6699829101562,1298.1199951171875,5760.27001953125,4.82861328125,8.618996620178223,14.670161247253418,65.09728240966797,30.181346893310547,586.75
China,2023,CHN,1422584930.0,9456.4501953125,9439.3701171875,584.1500244140625,885.8699951171875,1226.0,6127.509765625,6.177265167236328,9.367891311645508,12.964695930480955,64.7971420288086,30.605775833129883,583.0399780273438
China,2024,CHN,1419321284.0,10086.8798828125,10069.8798828125,839.0399780273438,997.0399780273438,1354.25,6237.2001953125,8.318132400512695,9.884523391723633,13.425856590270996,61.83478164672852,33.695552825927734,555.4000244140625
Denmark,2010,DNK,5547865.0,38.75,37.61000061035156,0.0099999997764825,7.809999942779541,0.0199999995529651,26.31999969482422,0.02580645121634,20.15483856201172,0.0516129024326801,67.92257690429688,32.07741928100586,540.3900146484375
Denmark,2011,DNK,5570848.0,35.11000061035156,36.43000030517578,0.0099999997764825,9.770000457763672,0.0199999995529651,20.940000534057617,0.0284819137305021,27.82682991027832,0.0569638274610042,59.64112854003906,40.35887145996094,486.4700012207031
Denmark,2012,DNK,5591911.0,30.56999969482422,35.779998779296875,0.1000000014901161,10.270000457763672,0.0199999995529651,15.729999542236328,0.3271180987358093,33.595027923583984,0.0654236152768135,51.45567321777344,48.54432678222656,431.1400146484375
Denmark,2013,DNK,5615333.0,34.61000061035156,35.689998626708984,0.5199999809265137,11.119999885559082,0.0099999997764825,18.649999618530277,1.5024558305740356,32.12944030761719,0.0288933813571929,53.88615798950195,46.11383819580078,472.4100036621094
Denmark,2014,DNK,5643795.0,32.040000915527344,34.88999938964844,0.6000000238418579,13.079999923706056,0.0199999995529651,14.050000190734863,1.8726592063903809,40.82396697998047,0.0624219700694084,43.85143661499024,56.148563385009766,400.75
Denmark,2015,DNK,5683698.0,28.780000686645508,34.689998626708984,0.6000000238418579,14.130000114440918,0.0199999995529651,9.850000381469728,2.0847811698913574,49.09659576416016,0.0694926977157592,34.22515869140625,65.77484130859375,313.760009765625
Denmark,2016,DNK,5728196.0,30.399999618530277,35.459999084472656,0.7400000095367432,12.779999732971191,0.0199999995529651,12.010000228881836,2.434210538864136,42.03947448730469,0.0657894760370254,39.5065803527832,60.4934196472168,360.8599853515625
Denmark,2017,DNK,5765164.0,30.899999618530277,35.459999084472656,0.75,14.779999732971191,0.0199999995529651,9.100000381469728,2.427184581756592,47.83171463012695,0.0647249147295951,29.449840545654297,70.55016326904297,282.8500061035156
Denmark,2018,DNK,5793824.0,30.209999084472656,35.43000030517578,0.949999988079071,13.899999618530272,0.0099999997764825,9.460000038146973,3.1446540355682373,46.0112533569336,0.0331016220152378,31.31413459777832,68.68586730957031,296.9200134277344
Denmark,2019,DNK,5814618.0,29.3700008392334,35.18000030517578,0.959999978542328,16.149999618530273,0.0199999995529651,6.300000190734863,3.268641233444214,54.98807907104492,0.0680966973304748,21.45046043395996,78.5495376586914,204.2899932861328
Denmark,2020,DNK,5831529.0,28.57999992370605,35.459999084472656,1.1799999475479126,16.329999923706055,0.0199999995529651,5.130000114440918,4.128761291503906,57.13785934448242,0.069979004561901,17.949615478515625,82.05038452148438,188.94000244140625
Denmark,2021,DNK,5856774.0,32.91999816894531,37.790000915527344,1.309999942779541,16.049999237060547,0.0199999995529651,6.820000171661377,3.979343891143799,48.75455856323242,0.0607533417642116,20.716890335083008,79.28311920166016,222.97000122070312
Denmark,2022,DNK,5902901.0,35.15999984741211,36.52000045776367,2.380000114440918,19.020000457763672,0.0099999997764825,6.730000019073486,6.76905632019043,54.09556579589844,0.0284414105117321,19.141069412231445,80.85893249511719,203.63999938964844
Denmark,2023,DNK,5948134.0,33.88999938964844,37.02000045776367,3.660000085830689,19.38999938964844,0.0199999995529651,4.610000133514404,10.799646377563477,57.21451568603516,0.0590144582092762,13.60283374786377,86.39717102050781,151.9600067138672
Denmark,2024,DNK,5977417.0,35.060001373291016,38.77000045776367,3.7799999713897705,20.40999984741211,0.0199999995529651,3.7899999618530273,10.781517028808594,58.21448516845703,0.0570450611412525,10.810039520263672,89.18995666503906,131.77000427246094
Germany,2010,DEU,80830916.0,624.2100219726562,609.260009765625,11.960000038146973,38.54999923706055,20.950000762939453,378.239990234375,1.9160218238830569,6.175806045532227,3.356242179870605,60.59498977661133,16.886945724487305,516.6500244140625
Germany,2011,DEU,80857877.0,605.0,601.22998046875,19.989999771118164,49.86000061035156,17.670000076293945,372.6000061035156,3.3041322231292725,8.24132251739502,2.920661211013794,61.58677673339844,20.56694221496582,529.6699829101562
Germany,2012,DEU,80916391.0,619.8099975585938,599.27001953125,26.739999771118164,51.68000030517578,21.75,376.9500122070313,4.314225196838379,8.33803939819336,3.509140014648437,60.8170280456543,23.13612174987793,534.1599731445312
Germany,2013,DEU,81041581.0,629.6900024414062,597.5,30.6200008392334,52.7400016784668,23.0,380.4500122070313,4.862710475921631,8.375550270080566,3.652590990066528,60.41862106323242,24.13092041015625,538.0399780273438
Germany,2014,DEU,81376078.0,618.75,584.8699951171875,35.45000076293945,58.5,19.59000015258789,359.69000244140625,5.729292869567871,9.454545021057127,3.16606068611145,58.131717681884766,26.170503616333008,521.6799926757812
Germany,2015,DEU,82077546.0,639.1699829101562,590.8900146484375,38.08000183105469,80.62000274658203,18.979999542236328,359.239990234375,5.957726955413818,12.61323356628418,2.9694759845733643,56.204139709472656,29.43504905700684,503.5899963378906
